Analyze with upper bound?[n]Build multiple models?[n]What's the threshold of p-value?[0.05]Allow Early Termination?[n]xmax=inf	_xmin=26552	a=6.4152024826519	D=0.249796073730284	p=1
xmax=inf	_xmin=22438	a=4.54084127061483	D=0.220309418011943	p=0.76
xmax=inf	_xmin=22436	a=5.24760180846098	D=0.33276555744649	p=0.43
xmax=inf	_xmin=22035	a=5.60285516294711	D=0.348344337535276	p=0.26
xmax=inf	_xmin=21534	a=5.75676511986229	D=0.322153408117062	p=0.32
xmax=inf	_xmin=19662	a=4.73533836055751	D=0.166043148861967	p=0.87
xmax=inf	_xmin=18236	a=4.23931000058201	D=0.128013935724493	p=0.96
xmax=inf	_xmin=17600	a=4.19572065676358	D=0.117489969960193	p=0.94
xmax=inf	_xmin=15125	a=3.34868766526061	D=0.147234392439943	p=0.82
xmax=inf	_xmin=12830	a=2.83509549040318	D=0.209455949112284	p=0.45
xmax=inf	_xmin=12687	a=2.93641546061664	D=0.183799272530622	p=0.56
xmax=inf	_xmin=12343	a=2.96986066233035	D=0.169615163225334	p=0.53
xmax=inf	_xmin=11279	a=2.78431011558897	D=0.172998526690251	p=0.59
xmax=inf	_xmin=10717	a=2.73736798048178	D=0.165911275254922	p=0.58
xmax=inf	_xmin=10371	a=2.74032534175919	D=0.157262052890324	p=0.64
xmax=inf	_xmin=10333	a=2.82534002682364	D=0.148079590536065	p=0.62
xmax=inf	_xmin=9790	a=2.74905221186852	D=0.141570623466614	p=0.62
xmax=inf	_xmin=9752	a=2.82408823801098	D=0.135620749911694	p=0.69
xmax=inf	_xmin=9433	a=2.80163759710706	D=0.129503341289555	p=0.71
xmax=inf	_xmin=9413	a=2.87634667905963	D=0.125773404887141	p=0.71
xmax=inf	_xmin=9121	a=2.8486084065159	D=0.120039757320454	p=0.76
xmax=inf	_xmin=8996	a=2.87772290493854	D=0.116440409219873	p=0.78
xmax=inf	_xmin=8983	a=2.94753498040559	D=0.11479737744583	p=0.76
xmax=inf	_xmin=8980	a=3.021116901242	D=0.135952631450248	p=0.53
xmax=inf	_xmin=8913	a=3.06471091467151	D=0.145090120005719	p=0.45
xmax=inf	_xmin=8760	a=3.06462644297676	D=0.139568884929972	p=0.49
xmax=inf	_xmin=8662	a=3.08732555729866	D=0.141003163141002	p=0.43
xmax=inf	_xmin=8538	a=3.09387194372619	D=0.137800783529606	p=0.44
xmax=inf	_xmin=8500	a=3.14140583586097	D=0.144992473795854	p=0.4
xmax=inf	_xmin=8495	a=3.20553689437039	D=0.157676138151741	p=0.32
xmax=inf	_xmin=8370	a=3.20041656872783	D=0.151047674063569	p=0.32
xmax=inf	_xmin=8357	a=3.25740456911297	D=0.163443260343884	p=0.33
xmax=inf	_xmin=8225	a=3.24133328349051	D=0.154044897104134	p=0.3
xmax=inf	_xmin=8197	a=3.28610985707996	D=0.161515920408536	p=0.2
xmax=inf	_xmin=8120	a=3.29829568037828	D=0.160070980105504	p=0.2
xmax=inf	_xmin=8115	a=3.35543371011437	D=0.169416508050254	p=0.14
xmax=inf	_xmin=8107	a=3.4102206993936	D=0.177966936881701	p=0.12
xmax=inf	_xmin=7844	a=3.28854715389993	D=0.146923188853928	p=0.26
xmax=inf	_xmin=7826	a=3.33209488565177	D=0.151883609029749	p=0.19
xmax=inf	_xmin=7643	a=3.26274533152975	D=0.13523450779112	p=0.33
xmax=inf	_xmin=7314	a=3.15355083455562	D=0.111344860327061	p=0.51
xmax=inf	_xmin=7101	a=3.06966246017487	D=0.101295095682553	p=0.58
xmax=inf	_xmin=6635	a=2.85415390615417	D=0.140274043081822	p=0.22
xmax=inf	_xmin=6602	a=2.87625136334705	D=0.132427514115155	p=0.24
xmax=inf	_xmin=6589	a=2.90827660786944	D=0.122843303877328	p=0.35
xmax=inf	_xmin=6484	a=2.88929545457557	D=0.124470818057862	p=0.4
xmax=inf	_xmin=6460	a=2.91366748454004	D=0.117348837651189	p=0.39
xmax=inf	_xmin=6437	a=2.93795613375134	D=0.11064107071774	p=0.39
xmax=inf	_xmin=6313	a=2.90345981434335	D=0.11480645521995	p=0.32
xmax=inf	_xmin=6301	a=2.93236978928686	D=0.107919509997579	p=0.37
xmax=inf	_xmin=6155	a=2.88284599151708	D=0.11393014798138	p=0.4
xmax=inf	_xmin=6049	a=2.88949499037366	D=0.10932412953742	p=0.38
xmax=inf	_xmin=6004	a=2.89588756306471	D=0.106669788462101	p=0.5
xmax=inf	_xmin=5964	a=2.90443298846474	D=0.103862236336086	p=0.58
xmax=inf	_xmin=5896	a=2.89531188826255	D=0.103295459496769	p=0.35
xmax=inf	_xmin=5820	a=2.88064705842939	D=0.103320049988997	p=0.38
xmax=inf	_xmin=5810	a=2.905309730395	D=0.0991128280972535	p=0.42
xmax=inf	_xmin=5765	a=2.90777019531812	D=0.0973595060990117	p=0.51
xmax=inf	_xmin=5671	a=2.87910738175735	D=0.0985886768088667	p=0.4
xmax=inf	_xmin=5646	a=2.89274822944736	D=0.0959318818124479	p=0.45
xmax=inf	_xmin=5643	a=2.94901573734412	D=0.0886943428745178	p=0.57
xmax=inf	_xmin=5563	a=2.92453841274008	D=0.0892311316059994	p=0.56
xmax=inf	_xmin=5468	a=2.8901717627723	D=0.0903251451543022	p=0.51
xmax=inf	_xmin=5438	a=2.89782365514218	D=0.0885982290582793	p=0.57
xmax=inf	_xmin=5346	a=2.86454723259276	D=0.0893507003226059	p=0.58
xmax=inf	_xmin=5323	a=2.87572326764584	D=0.0875456056504144	p=0.58
xmax=inf	_xmin=5285	a=2.87654996544371	D=0.0863464753906333	p=0.51
xmax=inf	_xmin=5278	a=2.92316927412173	D=0.0820663390391024	p=0.52
xmax=inf	_xmin=5271	a=2.94384502699496	D=0.0802129491251259	p=0.55
xmax=inf	_xmin=5203	a=2.92092783749327	D=0.0800264569293986	p=0.54
xmax=inf	_xmin=5193	a=2.93870509329867	D=0.078458534690287	p=0.56
xmax=inf	_xmin=5108	a=2.90267247538711	D=0.0785501903463327	p=0.64
xmax=inf	_xmin=5077	a=2.90468950548573	D=0.0775474041513066	p=0.59
xmax=inf	_xmin=5057	a=2.91410192933229	D=0.0764037338222994	p=0.56
xmax=inf	_xmin=5055	a=2.93626208502301	D=0.0750548408790085	p=0.64
